n,seed,bw,lifo_err,fifo_err,delta_err,wmin,wmax
20,5,25,1,0,0,2,99
20,5,26,0,0,0,2,99
20,5,27,0,0,0,2,99
20,5,28,0,0,0,2,99
20,5,29,1,0,0,2,99
20,5,30,1,1,0,2,99
20,5,31,1,1,0,2,99
20,5,32,1,1,0,2,99
20,5,33,1,1,0,2,99
20,5,34,1,1,0,2,99
20,5,35,1,1,0,2,99
20,5,36,1,1,0,2,99
20,5,37,1,1,0,2,99
20,5,38,1,1,0,2,99
20,5,39,1,1,0,2,99
20,5,40,1,1,0,2,99
20,5,41,1,1,0,2,99
20,5,42,1,1,0,2,99
20,5,43,0,0,0,2,99
20,5,44,0,0,0,2,99
20,5,45,0,0,0,2,99
20,5,46,0,0,0,2,99
20,5,47,0,0,0,2,99
20,5,48,0,0,0,2,99
20,5,49,0,0,0,2,99
20,5,50,1,0,0,2,99
20,5,51,1,0,0,2,99
20,5,52,1,0,0,2,99
20,5,53,1,0,0,2,99
20,5,54,1,0,0,2,99
20,5,55,1,0,0,2,99
20,5,56,1,0,0,2,99
20,5,57,1,0,0,2,99
20,5,58,1,0,0,2,99
20,5,59,1,0,0,2,99
20,5,60,1,1,0,2,99
20,5,61,1,1,0,2,99
20,5,62,1,1,0,2,99
20,5,63,1,1,0,2,99
20,5,64,1,1,0,2,99
20,5,65,1,1,0,2,99
20,5,66,1,1,0,2,99
20,5,67,1,1,0,2,99
20,5,68,1,1,0,2,99
20,5,69,1,1,0,2,99
20,5,70,1,1,0,2,99
20,5,71,1,1,0,2,99
20,5,72,1,1,0,2,99
20,5,73,1,1,0,2,99
20,5,74,1,1,0,2,99
20,5,75,1,1,0,2,99
20,5,76,0,1,0,2,99
20,5,77,0,1,0,2,99
20,5,78,0,1,0,2,99
20,5,79,0,1,0,2,99
20,5,80,0,1,0,2,99
20,5,81,0,1,0,2,99
20,5,82,0,1,0,2,99
20,5,83,0,1,0,2,99
20,5,84,0,1,0,2,99
20,5,85,0,1,0,2,99
20,5,86,0,1,0,2,99
20,5,87,1,1,0,2,99
20,5,88,1,1,0,2,99
20,5,89,1,1,0,2,99
20,5,90,1,1,0,2,99
20,5,91,1,1,0,2,99
20,5,92,1,1,0,2,99
20,5,93,1,1,0,2,99
20,5,94,1,1,0,2,99
20,5,95,1,1,0,2,99
20,5,96,1,1,0,2,99
20,5,97,1,1,0,2,99
20,5,98,1,1,0,2,99
20,5,99,1,1,0,2,99
20,5,100,1,1,0,2,99
20,5,101,1,1,0,2,99
20,5,102,1,1,0,2,99
20,5,103,1,1,0,2,99
